workout_name,trainer,gender,age_group,workout_frequency,emotion,energy_level,focus_level,motivation_level,difficulty_level,category,workout_url
HIIT for Fat Loss,David,Male,20-30,Beginner,energetic,5,4,5,4,cardio,https://www.youtube.com/watch?v=AdqrTg_hpEQ
Bodyweight Strength,Andrew,Male,30-40,Intermediate,motivated,4,3,4,4,strength,https://www.youtube.com/watch?v=3niAcGUl_PA
Total Body Pilates,Jessica,Female,50-60,Beginner,calm,3,3,3,2,pilates,https://www.youtube.com/watch?v=IvmaekQfKiw
Cardio Dance Party,Laura,Female,20-30,Beginner,energetic,5,4,4,4,cardio,https://www.youtube.com/watch?v=PvEnWsPrL4w
High Intensity Interval Training,Daniel,Male,30-40,Intermediate,energetic,5,4,4,4,cardio,https://www.youtube.com/watch?v=gC_L9qAHVJ8
Stretching & Flexibility,Emma,Female,40-50,Beginner,calm,2,2,3,2,yoga,https://www.youtube.com/watch?v=eC9TkyYdS7g
Resistance Band Workout,Lisa,Female,30-40,Intermediate,motivated,4,3,4,4,strength,https://www.youtube.com/watch?v=v-0KCLicPt0
Bodyweight Circuit Training,Paul,Male,20-30,Beginner,energetic,5,4,4,4,cardio,https://www.youtube.com/watch?v=blbv5UTBCGg
Cardio with Weights,Tom,Male,40-50,Advanced,energetic,5,4,4,4,cardio,https://www.youtube.com/watch?v=Z3PL2-5bItM
Abdominal Burn,Max,Male,30-40,Intermediate,energetic,5,4,4,4,weight-training,https://www.youtube.com/watch?v=-Y2jts8s96g
Advanced Bodyweight Training,George,Male,20-30,Advanced,motivated,5,4,4,5,strength,https://www.youtube.com/watch?v=7cqzSNgNo1M
New HIIT Challenge,Sarah,Male,20-30,Beginner,motivated,4,3,4,4,cardio,https://www.youtube.com/watch?v=DUHkbZvMchc
Fat Loss Bootcamp,Luke,Male,30-40,Intermediate,energetic,5,4,5,4,cardio,https://www.youtube.com/watch?v=pFvDf1dHoXo
Power Yoga for Strength,Lisa,Female,40-50,Intermediate,calm,3,3,3,2,yoga,https://www.youtube.com/watch?v=y4Ng6uBC11Y
Boxing for Endurance,Tom,Male,20-30,Advanced,energetic,5,4,5,4,cardio,https://www.youtube.com/watch?v=tj0o8aH9vJw
Core Strengthening Routine,Anna,Female,30-40,Beginner,calm,2,2,3,3,strength,https://www.youtube.com/watch?v=dhCwHlL32Jw
Kickboxing Workout,Lisa Chen,Female,20-30,Beginner,angry,3,3,3,1,kickboxing,https://www.youtube.com/watch?v=xsqh63FaYz4
Kickboxing Workout,Mike Davis,Male,30-40,Beginner,angry,4,3,3,1,kickboxing,https://www.youtube.com/watch?v=PPcDNnm9Z74
Kickboxing Workout,Amy Lee,Female,40-50,Beginner,angry,3,2,2,1,kickboxing,https://www.youtube.com/watch?v=2SVkH1aKo1M
Kickboxing Workout,David Kim,Male,50-60,Intermediate,angry,4,4,4,2,kickboxing,https://www.youtube.com/watch?v=S5NhoXF3wcM
Kickboxing Workout,Jessica Garcia,Female,20-30,Intermediate,angry,4,5,4,2,kickboxing,https://www.youtube.com/watch?v=Vve4BVTZ0QU
Kickboxing Workout,Tom Brown,Male,30-40,Intermediate,angry,4,3,3,2,kickboxing,https://www.youtube.com/watch?v=6oLg5fFe5ww
Kickboxing Workout,Erica Wilson,Female,40-50,Advanced,angry,5,5,5,3,kickboxing,https://www.youtube.com/watch?v=Hri2rYgOLKI
Kickboxing Workout,Nina Patel,Female,30-40,Advanced,angry,5,4,4,3,kickboxing,https://www.youtube.com/watch?v=bs7X3F-XYTc
Kickboxing Workout,Paul White,Male,20-30,Advanced,angry,5,5,4,3,kickboxing,https://www.youtube.com/watch?v=QpOWSOi6_bo
Boxing Workout,Kevin Lee,Male,20-30,Beginner,angry,3,2,3,1,boxing,https://www.youtube.com/watch?v=WuBPbI0x50o
Boxing Workout,Angela Perez,Female,30-40,Beginner,angry,2,3,2,1,boxing,https://www.youtube.com/watch?v=jhcIjFgz2bI
Boxing Workout,Brian Stewart,Male,40-50,Beginner,angry,3,3,3,1,boxing,https://www.youtube.com/watch?v=7CaSOPmlLxU
Boxing Workout,Sophia Wong,Female,20-30,Intermediate,angry,4,4,3,2,boxing,https://www.youtube.com/watch?v=7CZ5I-PZjEg
Boxing Workout,Ethan Scott,Male,30-40,Intermediate,angry,4,3,4,2,boxing,https://www.youtube.com/watch?v=KidSVNv0WcY
Boxing Workout,Olivia Johnson,Female,40-50,Intermediate,angry,4,4,4,2,boxing,https://www.youtube.com/watch?v=wB8GhqtKLdk
Boxing Workout,James Anderson,Male,50-60,Advanced,angry,5,5,5,3,boxing,https://www.youtube.com/watch?v=XIHvfwYVy4A
Boxing Workout,Grace Martinez,Female,20-30,Advanced,angry,5,5,4,3,boxing,https://www.youtube.com/watch?v=2cZXME-KOUU
Boxing Workout,Samuel Green,Male,30-40,Advanced,angry,5,4,4,3,boxing,https://www.youtube.com/watch?v=12rCpL7yENg
Power Yoga Workout,Sarah Hill,Female,30-40,Beginner,calm,3,4,3,1,power yoga,https://www.youtube.com/watch?v=-nOtSOhZ7AA
Power Yoga Workout,Emma Lopez,Female,20-30,Beginner,calm,2,3,4,1,power yoga,https://www.youtube.com/watch?v=Ue0f6VHRiFE
Power Yoga Workout,Lucas Rivera,Male,30-40,Intermediate,calm,3,3,4,2,power yoga,https://www.youtube.com/watch?v=xVifQow87b4
Power Yoga Workout,Megan Thompson,Female,50-60,Intermediate,calm,3,3,3,2,power yoga,https://www.youtube.com/watch?v=ZbtVVYBLCug
Power Yoga Workout,Rachel Patel,Female,40-50,Intermediate,calm,3,4,4,2,power yoga,https://www.youtube.com/watch?v=S9p5yhE6_fk
Power Yoga Workout,Aaron Carter,Male,20-30,Advanced,calm,4,4,5,3,power yoga,https://www.youtube.com/watch?v=ZM51JJdVl9g
Power Yoga Workout,Katie Moore,Female,20-30,Advanced,calm,5,5,5,3,power yoga,https://www.youtube.com/watch?v=6rh6pVGTqRU
Power Yoga Workout,Emily Baker,Female,40-50,Advanced,calm,4,4,4,3,power yoga,https://www.youtube.com/watch?v=5PdBZqlvhEk
Power Yoga Workout,Victoria Nguyen,Female,50-60,Advanced,calm,5,5,5,3,power yoga,https://www.youtube.com/watch?v=9kOCY0KNByw
Circuit Training Workout,Alex Reed,Male,30-40,Beginner,energetic,3,2,3,1,circuit training,https://www.youtube.com/watch?v=OZqNbAXILZs
Circuit Training Workout,Jordan Gray,Female,40-50,Beginner,energetic,4,3,3,1,circuit training,https://www.youtube.com/watch?v=gC_L9qAHVJ8
Circuit Training Workout,Chris Murphy,Other,20-30,Beginner,energetic,4,3,2,1,circuit training,https://www.youtube.com/watch?v=ibs7vvL8pWg
Circuit Training Workout,Jamie Adams,Other,30-40,Intermediate,energetic,4,5,4,2,circuit training,https://www.youtube.com/watch?v=utk-y1PtsVc
Circuit Training Workout,Blake Cooper,Male,20-30,Intermediate,energetic,4,4,4,2,circuit training,https://www.youtube.com/watch?v=DyWLQ0LsTPU
Circuit Training Workout,Ryan Edwards,Female,40-50,Advanced,energetic,5,5,5,3,circuit training,https://www.youtube.com/watch?v=xqBTEdJfHE4
Circuit Training Workout,Leslie Phillips,Other,30-40,Advanced,energetic,5,5,5,3,circuit training,https://www.youtube.com/watch?v=M0uO8X3_tEA
Mindfulness Meditation,Laura Brooks,Female,20-30,Beginner,calm,3,5,4,1,mindfulness,https://www.youtube.com/watch?v=vj0JDwQLof4
Mindfulness Meditation,Olivia Ross,Female,30-40,Beginner,calm,2,5,3,1,mindfulness,https://www.youtube.com/watch?v=QpLP4xCZ2tU
Mindfulness Meditation,Sophie Sanders,Female,50-60,Beginner,calm,2,5,2,1,mindfulness,https://www.youtube.com/watch?v=RUIi4c09HE0
Mindfulness Meditation,Grace Lewis,Female,20-30,Intermediate,calm,3,5,4,2,mindfulness,https://www.youtube.com/watch?v=inpok4MKVLM
Mindfulness Meditation,Hannah Mitchell,Female,40-50,Advanced,calm,4,5,5,3,mindfulness,https://www.youtube.com/watch?v=ZToicYcHIOU
Mindfulness Meditation,Natalie King,Female,20-30,Advanced,calm,5,5,5,3,mindfulness,https://www.youtube.com/watch?v=DbDoBzGY3vo
Beginner Aerobic Workout,Amy,Female,20-30,Beginner,motivated,3,4,3,2,cardio,https://www.youtube.com/watch?v=a44ayeoSfKM
Easy Aerobics Session,Tom,Male,30-40,Beginner,motivated,4,3,3,2,cardio,https://www.youtube.com/watch?v=WTUruNwUMFI
Quick Aerobic Warm-Up,Lucy,Female,40-50,Beginner,motivated,4,4,4,2,cardio,https://www.youtube.com/watch?v=F7mQ
Beginner Dance Cardio Workout,Pat,Male,20-30,Intermediate,motivated,4,4,3,3,cardio,https://www.youtube.com/watch?v=FJS2W_0HD7o
Beginner Aerobic Workout,Amy,Female,20-30,Beginner,motivated,4,3,3,2,cardio,https://www.youtube.com/watch?v=a44ayeoSfKM
Easy Aerobics Session,Tom,Male,20-30,Beginner,motivated,4,3,3,2,cardio,https://www.youtube.com/watch?v=WTUruNwUMFI
Quick Aerobic Warm-Up,Lucy,Female,20-30,Beginner,energized,4,3,3,2,cardio,https://www.youtube.com/watch?v=-UqOkg4NBd4
Intermediate Aerobic Boost,Chris,Male,30-40,Intermediate,motivated,5,4,4,3,cardio,https://www.youtube.com/watch?v=bUd635j-KAA
Aerobics Power Routine,Karen,Female,30-40,Intermediate,energized,5,4,4,3,cardio,https://www.youtube.com/watch?v=tHqOi-k5xsY
Cardio Blast Workout,Michael,Male,30-40,Intermediate,focused,5,4,4,3,cardio,https://www.youtube.com/watch?v=SPCO6UH_2CI
Advanced Cardio Burnout,Emily,Female,40-50,Advanced,motivated,5,5,5,4,cardio,https://www.youtube.com/watch?v=kv0LUpu6hYk
Intense Aerobic Challenge,Robert,Male,40-50,Advanced,energized,5,5,5,4,cardio,https://www.youtube.com/watch?v=e3-zpBc_hg8
High-Energy Aerobics,Anna,Female,40-50,Advanced,focused,5,5,5,4,cardio,https://www.youtube.com/watch?v=ZvmFBOW4oR4
Gentle Restorative Yoga,Sophia,Female,20-30,Beginner,calm,2,2,2,2,yoga,https://www.youtube.com/watch?v=ISHbAvy3mlw
Beginner Restorative Yoga,James,Male,20-30,Beginner,relaxed,2,2,2,2,yoga,https://www.youtube.com/watch?v=EvMTrP8eRvM
Calm Yoga Flow,Grace,Female,20-30,Beginner,peaceful,2,2,2,2,yoga,https://www.youtube.com/watch?v=nylNjxeOeSw
Intermediate Restorative Yoga,Ben,Male,30-40,Intermediate,relaxed,3,3,3,3,yoga,https://www.youtube.com/watch?v=7P7RktQ7Buk
Mindful Restorative Yoga,Olivia,Female,30-40,Intermediate,focused,3,3,3,3,yoga,https://www.youtube.com/watch?v=YtnUEphd830
De-Stress Yoga Session,David,Male,30-40,Intermediate,calm,3,3,3,3,yoga,https://www.youtube.com/watch?v=vbgxIwQoyN4
Advanced Restorative Yoga,Laura,Female,40-50,Advanced,focused,4,4,4,4,yoga,https://www.youtube.com/watch?v=5sDuFRVaCFc
Deep Restorative Practice,Jack,Male,40-50,Advanced,peaceful,4,4,4,4,yoga,https://www.youtube.com/watch?v=XzWctoBI-6g
Full Relaxation Yoga,Susan,Female,40-50,Advanced,calm,4,4,4,4,yoga,https://www.youtube.com/watch?v=ndC1L-ArCsY
Beginner Meditation Journey,Emma,Female,20-30,Beginner,calm,1,1,1,1,meditation,https://www.youtube.com/watch?v=U9YKY7fdwyg
Guided Meditation for Beginners,John,Male,20-30,Beginner,peaceful,1,1,1,1,meditation,https://www.youtube.com/watch?v=DulNz2CkoHI
Simple Meditation Practice,Olivia,Female,20-30,Beginner,relaxed,1,1,1,1,meditation,https://www.youtube.com/watch?v=wVSkYKj26qg
Focus Meditation,Mark,Male,30-40,Intermediate,focused,2,2,2,2,meditation,https://www.youtube.com/watch?v=uZT3cuj_JK4
Calming Intermediate Meditation,Lily,Female,30-40,Intermediate,peaceful,2,2,2,2,meditation,https://www.youtube.com/watch?v=uTN29kj7e-w
Mindful Meditation,Brian,Male,30-40,Intermediate,calm,2,2,2,2,meditation,https://www.youtube.com/watch?v=FZ-6i6gZawM
Advanced Meditation Technique,Sarah,Female,40-50,Advanced,peaceful,3,3,3,3,meditation,https://www.youtube.com/watch?v=RcXemRLVW1Q
Deep Mindfulness Meditation,Peter,Male,40-50,Advanced,focused,3,3,3,3,meditation,https://www.youtube.com/watch?v=9IUYkhLUSKs
Expert-Level Meditation Practice,Jessica,Female,40-50,Advanced,calm,3,3,3,3,meditation,https://www.youtube.com/watch?v=QfA7zDxi26k
Moderate Cardio,John Doe,Male,20-30,Beginner,Depressed,2,3,2,1,cardio,https://www.youtube.com/watch?v=xPNUd-NgCnA&pp=ygUmTW9kZXJhdGUgY2FyZGlvIHdvcmtvdXQgZm9yIGJlZ2lubmVycyA%3D
Moderate Cardio,Susan Miller,Female,30-40,Beginner,Depressed,3,3,2,1,cardio,https://www.youtube.com/watch?v=dj03_VDetdw&pp=ygUmTW9kZXJhdGUgY2FyZGlvIHdvcmtvdXQgZm9yIGJlZ2lubmVycyA%3D
Moderate Cardio,James Wilson,Male,40-50,Beginner,Depressed,2,2,2,1,cardio,https://www.youtube.com/watch?v=8A6Uai5sQVw&pp=ygUmTW9kZXJhdGUgY2FyZGlvIHdvcmtvdXQgZm9yIGJlZ2lubmVycyA%3D
Moderate Cardio,Amy Lee,Female,20-30,Intermediate,Depressed,3,3,3,2,cardio,https://www.youtube.com/watch?v=3SpPraOLJl4&pp=ygUmTW9kZXJhdGUgY2FyZGlvIHdvcmtvdXQgZm9yIGJlZ2lubmVycyA%3D
Moderate Cardio,Michael Brown,Male,30-40,Intermediate,Depressed,4,4,3,2,cardio,https://www.youtube.com/watch?v=8MImdWV2WfI&pp=ygUmTW9kZXJhdGUgY2FyZGlvIHdvcmtvdXQgZm9yIGJlZ2lubmVycyA%3D
Moderate Cardio,Emily Green,Female,50-60,Intermediate,Depressed,3,4,3,2,cardio,https://www.youtube.com/watch?v=Ba3qZjzPonI&pp=ygUmTW9kZXJhdGUgY2FyZGlvIHdvcmtvdXQgZm9yIGJlZ2lubmVycyA%3D
Moderate Cardio,David Harris,Male,20-30,Advanced,Depressed,4,4,4,3,cardio,https://www.youtube.com/watch?v=ImI63BUUPwU&pp=ygUYTW9kZXJhdGUgY2FyZGlvIHdvcmtvdXQg
Moderate Cardio,Jennifer White,Female,30-40,Advanced,Depressed,5,5,5,3,cardio,https://www.youtube.com/watch?v=kZDvg92tTMc&pp=ygUYTW9kZXJhdGUgY2FyZGlvIHdvcmtvdXQg
Moderate Cardio,Robert Lee,Male,40-50,Advanced,Depressed,4,5,4,3,cardio,https://www.youtube.com/watch?v=a-V4Or5xyis&pp=ygUYTW9kZXJhdGUgY2FyZGlvIHdvcmtvdXQg
Dance Fitness,Alice Johnson,Female,20-30,3,excited,5,4,5,3,dance,https://www.youtube.com/watch?v=-UqOkg4NBd4&pp=ygUXZGFuY2Ugd29ya291dCBiZWdpbm5lcnM%3D
Dance Fitness,Michael Lee,Male,20-30,4,energetic,4,3,4,2,dance,https://www.youtube.com/watch?v=YqEaEz2yUhg&pp=ygUXZGFuY2Ugd29ya291dCBiZWdpbm5lcnM%3D
Dance Fitness,Sophia Brown,Female,25-35,5,joyful,5,5,4,4,dance,https://www.youtube.com/watch?v=v6rQRS4zHUk&pp=ygUXZGFuY2Ugd29ya291dCBiZWdpbm5lcnM%3D
Dance Fitness,James Miller,Male,30-40,3,excited,5,4,5,3,dance,https://www.youtube.com/watch?v=FZmyUYgRC44&pp=ygUXZGFuY2Ugd29ya291dCBiZWdpbm5lcnM%3D
Dance Fitness,Lily Davis,Female,30-40,4,motivated,4,4,5,3,dance,https://www.youtube.com/watch?v=TqVO2Ek-PIE&pp=ygUXZGFuY2Ugd29ya291dCBiZWdpbm5lcnM%3D
Dance Fitness,Jack Harris,Male,30-40,4,focused,5,4,5,3,dance,https://www.youtube.com/watch?v=bre1FJR0ggo&pp=ygUaZGFuY2Ugd29ya291dCBpbnRlcm1lZGlhdGU%3D
Dance Fitness,Emma Wilson,Female,35-45,3,enthusiastic,4,5,4,4,dance,https://www.youtube.com/watch?v=tj9d6aBOzDo&pp=ygUaZGFuY2Ugd29ya291dCBpbnRlcm1lZGlhdGU%3D
Dance Fitness,Luke Scott,Male,40-50,5,energetic,5,5,5,5,dance,https://www.youtube.com/watch?v=fUJ58ATUNH8&pp=ygUWZGFuY2Ugd29ya291dCBhZHZhbmNlZA%3D%3D
Dance Fitness,Olivia Green,Female,40-50,5,exhilarated,5,4,5,4,dance,https://www.youtube.com/watch?v=WdIla2fnW3c&pp=ygUWZGFuY2Ugd29ya291dCBhZHZhbmNlZA%3D%3D
Dance Fitness,Daniel Thomas,Male,45-55,5,high-energy,5,5,4,5,dance,https://www.youtube.com/watch?v=d4oWVMa7gfs&pp=ygUWZGFuY2Ugd29ya291dCBhZHZhbmNlZA%3D%3D
Zumba,Emily Clark,Female,20-30,3,joyful,4,3,5,3,dance,https://www.youtube.com/watch?v=ka4tN6RJvgQ&pp=ygUXZGFuY2Ugd29ya291dCBiZWdpbm5lcnM%3D
Zumba,David Harris,Male,20-30,5,energetic,4,4,4,3,dance,https://www.youtube.com/watch?v=PtmsytNzdvc&pp=ygUbenVtYmEgd29ya291dCBmb3IgYmVnaW5uZXJz
Zumba,Sarah Adams,Female,25-35,4,excited,5,5,5,4,dance,https://www.youtube.com/watch?v=MeTOjL-fBYU&pp=ygUbenVtYmEgd29ya291dCBmb3IgYmVnaW5uZXJz
Zumba,Mark Robinson,Male,30-40,4,focused,5,4,4,3,dance,https://www.youtube.com/watch?v=4AXVMymNi-M&pp=ygUaenVtYmEgd29ya291dCBpbnRlcm1lZGlhdGU%3D
Zumba,Amy Nelson,Female,30-40,4,enthusiastic,4,4,4,4,dance,https://www.youtube.com/watch?v=Ge9qsOSafBg&pp=ygUaenVtYmEgd29ya291dCBpbnRlcm1lZGlhdGU%3D
Zumba,John Walker,Male,35-45,5,energized,5,5,5,4,dance,https://www.youtube.com/watch?v=o5RcDd-ZCcQ&pp=ygUaenVtYmEgd29ya291dCBpbnRlcm1lZGlhdGU%3D
Zumba,Isabella King,Female,40-50,5,motivated,5,5,5,5,dance,https://www.youtube.com/watch?v=QRZcZgSgSHI&pp=ygUWenVtYmEgd29ya291dCBhZHZhbmNlZA%3D%3D
Zumba,Victor White,Male,40-50,5,excited,5,4,5,5,dance,https://www.youtube.com/watch?v=BPg9fJpOf9Q&pp=ygUWenVtYmEgd29ya291dCBhZHZhbmNlZA%3D%3D
Zumba,Chloe Martinez,Female,45-55,5,high-energy,5,5,5,4,dance,https://www.youtube.com/watch?v=_yHmsE73o8Y&pp=ygUWenVtYmEgd29ya291dCBhZHZhbmNlZA%3D%3D
Zumba,Lucas Harris,Male,45-55,4,exhilarated,5,4,5,5,dance,https://www.youtube.com/watch?v=D6JAsDmaapE&pp=ygUaenVtYmEgd29ya291dCBpbnRlcm1lZGlhdGU%3D
Surya Namaskar,Anna Williams,Female,20-30,3,calm,3,2,3,2,yoga,https://www.youtube.com/watch?v=1xRX1MuoImw&pp=ygUcc3VyeWEgbmFtYXNrYXIgZm9yIGJlZ2lubmVycw%3D%3D
Surya Namaskar,Benjamin Scott,Male,20-30,3,relaxed,2,2,3,1,yoga,https://www.youtube.com/watch?v=8IBl8CfRyEA&pp=ygUcc3VyeWEgbmFtYXNrYXIgZm9yIGJlZ2lubmVycw%3D%3D
Surya Namaskar,Grace Turner,Female,25-35,4,peaceful,3,3,4,2,yoga,https://www.youtube.com/watch?v=_2GgRQJ9IbU&pp=ygUcc3VyeWEgbmFtYXNrYXIgZm9yIGJlZ2lubmVycw%3D%3D
Surya Namaskar,Michael Young,Male,30-40,4,focused,4,4,5,3,yoga,https://www.youtube.com/watch?v=YrIqX5FkctA&pp=ygUcc3VyeWEgbmFtYXNrYXIgaW50ZXJtZWRpYXRlIA%3D%3D
Surya Namaskar,Jessica Carter,Female,30-40,4,calm,4,4,4,3,yoga,https://www.youtube.com/watch?v=e0Q88DUOXjk&pp=ygUcc3VyeWEgbmFtYXNrYXIgaW50ZXJtZWRpYXRlIA%3D%3D
Surya Namaskar,Matthew Lee,Male,35-45,5,peaceful,5,5,5,4,yoga,https://www.youtube.com/watch?v=mtO2fRmh8D8&pp=ygUcc3VyeWEgbmFtYXNrYXIgaW50ZXJtZWRpYXRlIA%3D%3D
Surya Namaskar,Ella Robinson,Female,40-50,5,balanced,5,5,5,5,yoga,https://www.youtube.com/watch?v=efiQbf8kI3k&pp=ygUcc3VyeWEgbmFtYXNrYXIgaW50ZXJtZWRpYXRlIA%3D%3D
Surya Namaskar,Oliver Martinez,Male,40-50,4,grounded,4,4,4,3,yoga,https://www.youtube.com/watch?v=Ws6jKc-JLd0&pp=ygUXc3VyeWEgbmFtYXNrYXIgYWR2YW5jZWQ%3D
Surya Namaskar,Sophia Taylor,Female,45-55,4,serene,3,3,4,2,yoga,https://www.youtube.com/watch?v=S9p5yhE6_fk&list=PLB5wivUfOOEGa9pJxwQKCCgnKYFc3LZ8j
